hc,hs,ht,lg,ls,r1,r2,r3,r4,s,wg,ws,xt,Resonant_Freq_GHz,S21_dB
0.035,1.27,0.13,1.125,20,2.125,3.375,5.75,8.04,0,65,65,1.6375,5.3550000190735,-40.349072162563
0.035,1.27,0.13,1.125,20,2.125,3.375,5.75,8.04,0,65,65,1.6375,5.4460000991821,-49.371074313218
0.035,1.27,0.13,1.125,20,2.125,3.375,5.75,8.04,0,65,65,1.6375,5.4670000076294,-47.986571014915
0.035,1.27,0.13,1.125,20,2.125,3.375,5.75,8.04,0,65,65,1.6375,5.4879999160767,-43.558858524963
0.035,1.27,0.13,1.125,20,2.125,3.375,6.125,8.04,0,65,65,1.6375,5.25,-29.107978916101
0.035,1.27,0.13,1.125,20,2.125,3.375,6.125,8.04,0,65,65,1.6375,5.3200001716614,-28.311382989473
0.035,1.27,0.13,1.125,20,2.125,3.375,6.125,8.04,0,65,65,1.6375,5.3340001106262,-28.52468064402
0.035,1.27,0.13,1.125,20,2.125,3.375,6.125,8.04,0,65,65,1.6375,5.3410000801086,-28.912781768118
0.035,1.27,0.13,1.125,20,2.125,3.375,6.5,8.04,0,65,65,1.6375,5.1449999809265,-21.429952442403
0.035,1.27,0.13,1.125,20,2.125,3.375,6.5,8.04,0,65,65,1.6375,5.2080001831055,-19.050890055717
0.035,1.27,0.13,1.125,20,2.125,3.375,6.5,8.04,0,65,65,1.6375,5.201000213623,-19.577940987253
0.035,1.27,0.13,1.125,20,2.125,3.375,6.5,8.04,0,65,65,1.6375,5.201000213623,-19.196452426353
0.035,1.27,0.13,1.125,20,2.125,3.75,5.375,8.04,0,65,65,1.6375,5.4250001907349,-38.091118145236
0.035,1.27,0.13,1.125,20,2.125,3.75,5.375,8.04,0,65,65,1.6375,5.5650000572205,-31.776080308231
0.035,1.27,0.13,1.125,20,2.125,3.75,5.375,8.04,0,65,65,1.6375,5.6139998435974,-22.04933678525
0.035,1.27,0.13,1.125,20,2.125,3.75,5.375,8.04,0,65,65,1.6375,5.6490001678467,-18.276411482905
0.035,1.27,0.13,1.125,20,2.125,3.75,5.75,8.04,0,65,65,1.6375,5.3759999275208,-35.150136620689
0.035,1.27,0.13,1.125,20,2.125,3.75,5.75,8.04,0,65,65,1.6375,5.4530000686646,-32.940637281724
0.035,1.27,0.13,1.125,20,2.125,3.75,5.75,8.04,0,65,65,1.6375,5.4670000076294,-28.818411771351
0.035,1.27,0.13,1.125,20,2.125,3.75,5.75,8.04,0,65,65,1.6375,5.4949998855591,-23.640067155442
0.035,1.27,0.13,1.125,20,2.125,3.75,6.125,8.04,0,65,65,1.6375,5.2639999389648,-28.393156187381
0.035,1.27,0.13,1.125,20,2.125,3.75,6.125,8.04,0,65,65,1.6375,5.3060002326965,-29.408500410503
0.035,1.27,0.13,1.125,20,2.125,3.75,6.125,8.04,0,65,65,1.6375,5.3480000495911,-26.013221046724
0.035,1.27,0.13,1.125,20,2.125,3.75,6.125,8.04,0,65,65,1.6375,5.3410000801086,-24.750203691867
0.035,1.27,0.13,1.125,20,2.125,3.75,6.5,8.04,0,65,65,1.6375,5.1589999198914,-21.284069663559
0.035,1.27,0.13,1.125,20,2.125,3.75,6.5,8.04,0,65,65,1.6375,5.1939997673035,-21.053528844319
0.035,1.27,0.13,1.125,20,2.125,3.75,6.5,8.04,0,65,65,1.6375,5.2080001831055,-20.284937129798
0.035,1.27,0.13,1.125,20,2.125,3.75,6.5,8.04,0,65,65,1.6375,5.2080001831055,-18.620079935906
0.035,1.27,0.13,1.125,20,2.125,4.125,5.375,8.04,0,65,65,1.6375,5.4180002212524,-40.712089725261
0.035,1.27,0.13,1.125,20,2.125,4.125,5.375,8.04,0,65,65,1.6375,5.558000087738,-28.264831933165
0.035,1.27,0.13,1.125,20,2.125,4.125,5.375,8.04,0,65,65,1.6375,5.5859999656677,-25.961061376868
0.035,1.27,0.13,1.125,20,2.125,4.125,5.375,8.04,0,65,65,1.6375,5.6209998130798,-26.316255307573
0.035,1.27,0.13,1.125,20,2.125,4.125,5.75,8.04,0,65,65,1.6375,5.3689999580383,-32.339613468317
0.035,1.27,0.13,1.125,20,2.125,4.125,5.75,8.04,0,65,65,1.6375,5.460000038147,-29.675959975137
0.035,1.27,0.13,1.125,20,2.125,4.125,5.75,8.04,0,65,65,1.6375,5.4670000076294,-24.902997299444
0.035,1.27,0.13,1.125,20,2.125,4.125,5.75,8.04,0,65,65,1.6375,5.4879999160767,-26.154812401369
0.035,1.27,0.13,1.125,20,2.125,4.125,6.125,8.04,0,65,65,1.6375,5.25,-20.244192374898
0.035,1.27,0.13,1.125,20,2.125,4.125,6.125,8.04,0,65,65,1.6375,5.3340001106262,-36.20008718944
0.035,1.27,0.13,1.125,20,2.125,4.125,6.125,8.04,0,65,65,1.6375,5.3410000801086,-29.650693381467
0.035,1.27,0.13,1.125,20,2.125,4.125,6.125,8.04,0,65,65,1.6375,5.3550000190735,-25.885217314416
0.035,1.27,0.13,1.125,20,2.125,4.125,6.5,8.04,0,65,65,1.6375,5.1100001335144,-20.88248840829
0.035,1.27,0.13,1.125,20,2.125,4.125,6.5,8.04,0,65,65,1.6375,5.2080001831055,-15.706872401339
0.035,1.27,0.13,1.125,20,2.125,4.125,6.5,8.04,0,65,65,1.6375,5.2220001220703,-17.686752777264
0.035,1.27,0.13,1.125,20,2.125,4.5,5.375,8.04,0,65,65,1.6375,5.4109997749329,-37.600423637306
0.035,1.27,0.13,1.125,20,2.125,4.5,5.375,8.04,0,65,65,1.6375,5.5370001792908,-32.257059291972
0.035,1.27,0.13,1.125,20,2.125,4.5,5.375,8.04,0,65,65,1.6375,5.5789999961853,-29.449808388411
0.035,1.27,0.13,1.125,20,2.125,4.5,5.375,8.04,0,65,65,1.6375,5.606999874115,-30.045937216228
0.035,1.27,0.13,1.125,20,2.125,4.5,5.75,8.04,0,65,65,1.6375,5.3480000495911,-37.480062299861
0.035,1.27,0.13,1.125,20,2.125,4.5,5.75,8.04,0,65,65,1.6375,5.4250001907349,-33.252149204879
0.035,1.27,0.13,1.125,20,2.125,4.5,5.75,8.04,0,65,65,1.6375,5.460000038147,-31.831444234625
0.035,1.27,0.13,1.125,20,2.125,4.5,5.75,8.04,0,65,65,1.6375,5.4809999465942,-31.472925223896
0.035,1.27,0.13,1.125,20,2.125,4.5,6.125,8.04,0,65,65,1.6375,5.25,-28.618577529117
0.035,1.27,0.13,1.125,20,2.125,4.5,6.125,8.04,0,65,65,1.6375,5.3200001716614,-39.715161775739
0.035,1.27,0.13,1.125,20,2.125,4.5,6.125,8.04,0,65,65,1.6375,5.3340001106262,-52.858779253686
0.035,1.27,0.13,1.125,20,2.125,4.5,6.125,8.04,0,65,65,1.6375,5.3340001106262,-31.289842323769
0.035,1.27,0.13,1.125,20,2.125,4.5,6.5,8.04,0,65,65,1.6375,5.1240000724792,-20.478137076589
0.035,1.27,0.13,1.125,20,2.125,4.5,6.5,8.04,0,65,65,1.6375,5.2150001525879,-21.520992377784
